Vble,chi2_p_value
handicapped-infants_yes,0.0
water-project-cost-sharing_yes,0.0307
adoption-of-the-budget-resolution_yes,0.0
physician-fee-freeze_yes,0.0
el-salvador-aid_yes,0.0
religious-groups-in-schools_yes,0.0
anti-satellite-test-ban_yes,0.0
aid-to-nicaraguan-contras_yes,0.0
mx-missile_yes,0.0
immigration_yes,0.8854
synfuels-corporation-cutback_yes,0.0012
education-spending_yes,0.0
superfund-right-to-sue_yes,0.0
crime_yes,0.0
duty-free-exports_yes,0.0
export-administration-act-south-africa_yes,0.0
